"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
575,BITS G561T,DISSERTATION,-,-,16,L1,JITENDRA PANWAR,,,,
2164,BITS G562T,DISSERTATION,-,-,16,L1,JITENDRA PANWAR,,,,
2165,BITS G563T,DISSERTATION,-,-,16,L1,JITENDRA PANWAR,,,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
756,BITS G629T,DISSERTATION,-,-,16,L1,JITENDRA PANWAR,,,,
809,BITS G639,PRACTICE SCHOOL,-,-,20,L1,PS DEAN,,,,
757,BITS G649,READING COURSE,-,-,5,L1,JITENDRA PANWAR,,,,
"",,,,,,L2,Jitendra Panwar,,,,
2167,BITS G661,RESEARCH METHODOLOGY I,-,-,5,L1,JITENDRA PANWAR,,,,
1073,CE F211,MECHANICS OF SOLIDS,-,-,3,L1,DIPENDU BHUNIA,1233,M  10  T Th  3,,28/12 FN
"",,Tutorial,,,,T1,Dipendu Bhunia,6163,W  1,,
"",,,,,,T2,Akash Samadhiya(RS),5102,W  1,,
1075,CE F213,SURVEYING,-,-,4,L1,SHUVENDU NARAYAN PATEL,1233,T Th  4  W  10,,17/12 FN
"",,Tutorial,,,,T1,Shuvendu Narayan Patel,6152,F  1,,
"",,,,,,T2,Danish Fayaz(RS),5101,F  1,,
"",,,,,,,Patil Deshbhushan Savindra(RS),,,,
"",,Practical,,,,P1,Akash Samadhiya(RS),,Th  7 8,,
"",,,,,,,Patil Deshbhushan Savindra(RS),,,,
"",,,,,,P2,Danish Fayaz(RS),,Th  7 8,,
"",,,,,,,Rakesh  Kumar V G(RS),,,,
2279,CE F230,CIVIL ENGINEERING MATERIALS,-,-,4,L1,MUKUND LAHOTI,1233,M W F  9,,13/12 FN
"",,Tutorial,,,,T1,Mukund Lahoti,6152,M  1,,
"",,,,,,T2,Anant Mishra(RS),5101,M  1,,
"",,Practical,,,,P1,Anant Mishra(RS),,T  10 11,,
"",,,,,,,Manigandan R(RS),,,,
"",,,,,,P2,Anuj Adhikari(RS),,T  10 11,,
"",,,,,,,Shreyas Pranav(RS),,,,
2280,CE F231,FLUID MECHANICS,-,-,3,L1,SAYANTAN CHAKRABORTY,1233,M W F  3,,22/12 FN
"",,Tutorial,,,,T1,Sayantan Chakraborty,6152,Th  1,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
"",,,,,,,Raya Raghavendra Kumar(RS),,,,
"",,,,,,T2,Soumya Kar(RS),5101,Th  1,,
1652,CE F266,STUDY PROJECT,-,-,3,L1,ANUPAM SINGHAL,,,,
1196,CE F312,HYDRAULIC ENGINEERING,-,-,4,L1,SHIBANI KHANRA JHA,1201,M W F  5,,15/12 FN
"",,Tutorial,,,,T1,Shibani Khanra Jha,1231,Th  2,,
"",,,,,,T2,Farhan Mohammad Khan(RS),1203,Th  2,,
"",,Practical,,,,P1,Farhan Mohammad Khan(RS),,Th  10 11,,
"",,,,,,,Rupam Nandan(RS),,,,
"",,,,,,P2,Kamalesh Kumar,,T  7 8,,
"",,,,,,,Ankit Kumar(RS),,,,
1197,CE F313,FOUNDATION ENGINEERING,-,-,3,L1,RAVI KANT MITTAL,5101,M W F  4,,27/12 FN
"",,Tutorial,,,,T1,Ravi Kant Mittal,6101,Th  9,,
"",,,,,,T2,Kamalesh Kumar,6102,Th  9,,
