COMCOD,SEC,ROOM,DAYS_&_HOURS
918.0,L1N,,M W F  9
782.0,L1N,,M W F  8
445.0,L1,6102.0,M W F  9
436.0,L1,,M  10  T Th  3
362.0,L1,6159.0,M  10  T Th  3
678.0,L1,6101.0,T Th  4  W  10
625.0,L1N,,M W F  4
1023.0,L1,6163.0,M W F  9
1023.0,T1,6163.0,M  1
1120.0,L1,6163.0,M  10  T Th  3
1120.0,L2,1234.0,M W F  8
1120.0,L3M,,M  10  T Th  3
1120.0,T1,1233.0,Th  6
1120.0,T2,6163.0,Th  6
1121.0,L1,6163.0,T Th  4  W  10
1121.0,T1,6163.0,F  1
1145.0,L1,6163.0,M W F  3
1145.0,T1,6163.0,Th  1
1656.0,L1,,
1446.0,L1,6152.0,M W F  5
1446.0,T1,6152.0,Th  2
1447.0,L1,6152.0,M W F  4
1447.0,L2M,,M W F  4
1447.0,T1,6152.0,Th  9
1448.0,L1,6152.0,M W F  8
1448.0,T1,6152.0,T  2
1773.0,L1,6107.0,M W F  7
1565.0,L1,1232.0,M W F  7
1547.0,L1,1227.0,M W F  3
1547.0,L2M,,M W F  3
1684.0,L1,,
1741.0,L1,,
1690.0,L1,,
1757.0,L1,,
1566.0,L1,5101.0,T Th  4  W  10
1552.0,L1,2204.0,M W F  2
1553.0,L1,5103.0,M W  11 12
1925.0,L1,1220.0,M W F  2
1875.0,L1,6157.0,T Th  4  W  10
1568.0,L1,6158.0,T Th  4  W  10
1726.0,L1,,
1009.0,L1B,6163.0,T  10  Th  9
1009.0,L1N,,M W F  3
1009.0,L2N,,M W F  8
1009.0,L3N,,T Th  5  F  10
1009.0,T1B,,Th  1
1009.0,T1N,,F  1
1009.0,T2N,,F  1
1009.0,T3N,,F  1
1009.0,T4N,,M  1
1009.0,T5N,,M  1
1009.0,T6N,,Th  8
1009.0,T7N,,Th  8
1009.0,T8N,,Th  8
1009.0,T9N,,Th  8
1009.0,T10N,,W  1
1077.0,L1,5105.0,M  10  T Th  3
1077.0,L2,5101.0,M  10  T Th  3
1077.0,T1,5105.0,W  1
1077.0,T2,5101.0,W  1
1077.0,T3,6101.0,W  1
1077.0,T4,6102.0,W  1
1077.0,T5,1234.0,W  1
1077.0,T6,6152.0,W  1
1077.0,P1,,T  10 11
1077.0,P2,,T  10 11
1077.0,P3,,T  10 11
1077.0,P4,,Th  10 11
1077.0,P5,,Th  7 8
1077.0,P6,,Th  7 8
1078.0,L1,5105.0,T Th  4  W  10
1078.0,T1,5105.0,F  1
1078.0,T2,6102.0,F  1
1078.0,T3,1202.0,F  1
1078.0,T4,1226.0,F  1
1078.0,T5,1231.0,F  1
1080.0,L1,5105.0,M W F  9
1080.0,T1,5105.0,Th  1
1080.0,T2,6155.0,Th  1
1080.0,T3,6156.0,Th  1
1080.0,T4,6101.0,Th  1
1080.0,T5,6102.0,Th  1
1080.0,T6,1202.0,Th  1
1079.0,L1,5102.0,M W F  3
1079.0,L2,5105.0,M W F  3
1079.0,T1,5102.0,M  1
1079.0,T2,5105.0,M  1
1079.0,T3,1233.0,M  1
1079.0,T4,6101.0,M  1
1079.0,T5,6102.0,M  1
1079.0,T6,1234.0,M  1
1079.0,T7,1202.0,M  1
1079.0,T8,1204.0,M  1
1079.0,P1,,T  10 11
1079.0,P2,,T  10 11
1079.0,P3,,T  10 11
1079.0,P4,,T  10 11
1079.0,P5,,Th  7 8
1079.0,P6,,Th  7 8
1079.0,P7,,Th  7 8
1889.0,L1,,
1889.0,P1,,T  10 11
1657.0,L1,,
1242.0,L1,5102.0,M W F  4
1242.0,T1,1201.0,Th  2
1242.0,T2,1223.0,Th  2
1242.0,T3,1227.0,Th  2
1242.0,P1,,Th  7 8
1242.0,P2,,T  10 11
1242.0,P3,,Th  7 8
1242.0,P4,,T  10 11
1243.0,L1,5102.0,M W F  8
1243.0,L2,5101.0,M W F  8
1243.0,T1,1202.0,Th  9
