COMCOD,COURSE_NO,COURSE_TITLE,CREDIT,COMPRE_DATE_&_SESSION
1137.0,GS F322,CRITI ANAL OF LIT & CINE,3.0,18/12 FN
1175.0,GS F331,TECH IN SOCIAL RESEARCH,3.0,15/12 FN
1873.0,GS F344,COPYWRITING,2.0,14/12 FN
1733.0,GS F366,LABORATORY PROJECT,3.0,
1744.0,GS F367,LABORATORY PROJECT,3.0,
1693.0,GS F376,DESIGN PROJECT,3.0,
1760.0,GS F377,DESIGN PROJECT,3.0,
1718.0,GS F491,SPECIAL PROJECT,3.0,
1596.0,HSS F223,APPR OF INDIAN MUSIC,3.0,24/12 FN
1621.0,HSS F233,MAIN TRENDS IN IND HIST,3.0,18/12 FN
1627.0,HSS F235,INTRODUCTORY PHILOSOPHY,3.0,21/12 FN
1628.0,HSS F236,SYMBOLIC LOGIC,3.0,24/12 FN
2425.0,HSS F247,SOCIAL INFORMATICS,3.0,28/12 FN
1776.0,HSS F266,STUDY PROJECT,3.0,
1777.0,HSS F323,ORGANIZATIONAL PSYCHOLOGY,3.0,23/12 FN
1155.0,HSS F325,CINEMATIC ADAPTATION,3.0,27/12 FN
1609.0,HSS F328,HUMAN RESOURCE DEVELOP,3.0,18/12 FN
1597.0,HSS F329,MUSICOLOGY-AN INTRODUCTN,3.0,21/12 FN
1599.0,HSS F334,SRIMAD BHAGAVAD GITA,3.0,15/12 FN
1623.0,HSS F343,PROFESSIONAL ETHICS,3.0,14/12 FN
1625.0,HSS F345,GANDHIAN THOUGHTS,3.0,23/12 FN
1626.0,HSS F346,INTERNATIONAL RELATIONS,3.0,15/12 FN
2289.0,HSS F368,ASIAN CINEMAS AND CULTURES,3.0,20/12 FN
1096.0,INSTR F211,ELECTRICAL MACHINES,4.0,28/12 FN
1097.0,INSTR F212,ELECTROMAGNETIC THEO,3.0,17/12 FN
1099.0,INSTR F214,ELECTRONIC DEVICES,3.0,13/12 FN
1098.0,INSTR F215,DIGITAL DESIGN,4.0,22/12 FN
1660.0,INSTR F266,STUDY PROJECT,3.0,
1345.0,INSTR F311,ELECTRO INST & INST TECH,4.0,27/12 FN
1346.0,INSTR F312,TRANSD & MEASUREMENT TEC,3.0,15/12 FN
1347.0,INSTR F313,ANALOG & DIGIT VLSI DES,3.0,24/12 FN
1734.0,INSTR F366,LABORATORY PROJECT,3.0,
1745.0,INSTR F367,LABORATORY PROJECT,3.0,
1694.0,INSTR F376,DESIGN PROJECT,3.0,
1761.0,INSTR F377,DESIGN PROJECT,3.0,
1719.0,INSTR F491,SPECIAL PROJECT,3.0,
1331.0,IS F462,NETWORK PROGRAMMING,3.0,20/12 FN
